Title,Genre,Year,Director,Writer,Cast,Runtime,Source Image Filename
The Martian,"Adventure, Drama, Sci-Fi",2015,Ridley Scott,Drew Goddard,"Matt Damon, Jessica Chastain, Sebastian Stan",144 min,Film_cards_-_29_of_50.jpeg
Rise of the Planet of the Apes,"Action, Drama, Sci-Fi",2011,Rupert Wyatt,"Rick Jaffa, Amanda Silver","Andy Serkis, James Franco, John Lithgow, David Oyelowo, Freida Pinto, Tom Felton, Terry Notary, Tyler Labine",105 min,Film_cards_-_35_of_50.jpeg
Harry Potter and the Sorcerer's Stone,"Adventure, Family, Fantasy",2001,Chris Columbus,J.K. Rowling (novel); Steve Kloves (screenplay),"Daniel Radcliffe, Emma Watson, Rupert Grint, Tom Felton, Alan Rickman",152 min,Film_cards_-_45_of_50.jpeg (or your own still)
Harry Potter and the Chamber of Secrets,"Adventure, Family, Fantasy",2002,Chris Columbus,J.K. Rowling (novel); Steve Kloves (screenplay),"Daniel Radcliffe, Emma Watson, Rupert Grint, Tom Felton, Alan Rickman",161 min,Film_cards_-_45_of_50.jpeg (or your own still)
Harry Potter and the Prisoner of Azkaban,"Adventure, Family, Fantasy",2004,Alfonso Cuarón,J.K. Rowling (novel); Steve Kloves (screenplay),"Daniel Radcliffe, Emma Watson, Rupert Grint, Tom Felton, Alan Rickman",142 min,Film_cards_-_45_of_50.jpeg (or your own still)
Harry Potter and the Goblet of Fire,"Adventure, Family, Fantasy",2005,Mike Newell,J.K. Rowling (novel); Steve Kloves (screenplay),"Daniel Radcliffe, Emma Watson, Rupert Grint, Tom Felton, Alan Rickman",157 min,Film_cards_-_45_of_50.jpeg (or your own still)
Harry Potter and the Order of the Phoenix,"Adventure, Family, Fantasy",2007,David Yates,J.K. Rowling (novel); Michael Goldenberg (screenplay),"Daniel Radcliffe, Emma Watson, Rupert Grint, Tom Felton, Alan Rickman",138 min,Film_cards_-_45_of_50.jpeg (or your own still)
Harry Potter and the Half-Blood Prince,"Adventure, Family, Fantasy",2009,David Yates,J.K. Rowling (novel); Steve Kloves (screenplay),"Daniel Radcliffe, Emma Watson, Rupert Grint, Tom Felton, Alan Rickman",153 min,Film_cards_-_45_of_50.jpeg (or your own still)
Harry Potter and the Deathly Hallows: Part 1,"Adventure, Family, Fantasy",2010,David Yates,J.K. Rowling (novel); Steve Kloves (screenplay),"Daniel Radcliffe, Emma Watson, Rupert Grint, Tom Felton, Alan Rickman",146 min,Film_cards_-_45_of_50.jpeg (or your own still)
Harry Potter and the Deathly Hallows: Part 2,"Adventure, Family, Fantasy",2011,David Yates,J.K. Rowling (novel); Steve Kloves (screenplay),"Daniel Radcliffe, Emma Watson, Rupert Grint, Tom Felton, Alan Rickman",130 min,Film_cards_-_45_of_50.jpeg (or your own still)
Avatar: The Last Airbender,"Action, Adventure, Fantasy",2005-2008,"Michael Dante DiMartino, Bryan Konietzko (creators)","Michael Dante DiMartino, Bryan Konietzko","Aang, Katara, Sokka, Appa, Toph, Zuko, Iroh, Azula, Mai, Ty Lee, Suki",23 min/episode (61 episodes),Film_cards_-_36_of_50.jpeg
Grease,"Comedy, Musical, Romance",1978,Randal Kleiser,Bronte Woodard,"John Travolta, Olivia Newton-John",110 min,Film_cards_-_48_of_50.jpeg
Gladiator,"Action, Adventure, Drama",2000,Ridley Scott,"David Franzoni, John Logan, William Nicholson","Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed, Derek Jacobi, Djimon Hounsou, Richard Harris, Ralf Möller, Tommy Flanagan, David Schofield, John Shrapnel, Tomas Arana, Spencer Treat Clark, David Hemmings",155 min,Film_cards_-_40_of_50.jpeg
High School Musical,"Comedy, Drama, Family, Musical, Romance",2006,Kenny Ortega,Peter Barsocchini,"Zac Efron, Vanessa Hudgens, Lucas Grabeel",98 min,Film_cards_-_47_of_50.jpeg
Grown Ups,Comedy,2010,Dennis Dugan,"Adam Sandler, Fred Wolf","Adam Sandler, Kevin James, David Spade, Chris Rock, Rob Schneider",102 min,Film_cards_-_39_of_50.jpeg
Fantastic Beasts,"Adventure, Family, Fantasy",2016,David Yates,J.K. Rowling,"Eddie Redmayne, Katherine Waterston, Alison Sudol",132 min,Film_cards_-_42_of_50.jpeg
Dexter,"Crime, Drama, Mystery",2006,"John Dahl, Steve Shill, Keith Gordon",James Manos Jr. (developer),"Michael C. Hall, Jennifer Carpenter, David Zayas",47-58 min/episode (96 episodes),Film_cards_-_50_of_50.jpeg
Michael,"Biography, Drama, Music",2026,Antoine Fuqua,John Logan,"Jafaar Jackson, Colman Domingo, Nia Long, Kendrick Sampson, Miles Teller",127 min,Film_cards_-_41_of_50.jpeg
Back to the Future,"Adventure, Comedy, Sci-Fi",1985,Robert Zemeckis,"Robert Zemeckis, Bob Gale","Michael J. Fox, Christopher Lloyd, Lea Thompson",116 min,Film_cards_-_44_of_50.jpeg
Game Night,"Action, Comedy, Mystery",2018,"John Francis Daley, Jonathan Goldstein",Mark Perez,"Jason Bateman, Rachel McAdams, Billy Magnussen",100 min,Film_cards_-_37_of_50.jpeg
Elvis,"Biography, Drama, Music",2022,Baz Luhrmann,"Baz Luhrmann, Sam Bromell, Craig Pearce, Jeremy Doner","Austin Butler, Tom Hanks",159 min,Film_cards_-_49_of_50.jpeg
The Greatest Showman,"Biography, Drama, Musical",2017,Michael Gracey,"Jenny Bicks, Bill Condon","Hugh Jackman, Michelle Williams, Zac Efron, Keala Settle, Zendaya",105 min,Film_cards_-_43_of_50.jpeg
The Parent Trap,"Comedy, Family, Romance",1998,Nancy Meyers,"David Swift; Nancy Meyers, Charles Shyer (screenplay)","Lindsay Lohan, Natasha Richardson, Dennis Quaid, Elaine Hendrix",128 min,Film_cards_-_46_of_50.jpeg
Tag,"Action, Comedy",2018,Jeff Tomsic,"Rob McKittrick, Mark Steilen","Jeremy Renner, Jon Hamm, Jake Johnson, Isla Fisher, Ed Helms, Annabelle Wallis, Hannibal Buress",101 min,Film_cards_-_38_of_50.jpeg
